CNAE,UF,score,ranking,count_contratos,valor_medio,n_orgaos
4712100,MG,99.8,291,9,203474.44444444444,6
4530703,75340000,99.8,292,9,131694.11111111112,3
9001902,TO,99.8,293,10,181900.0,4
4930202,MG,99.8,294,9,18437392.444444444,3
2539001,RS,99.8,295,9,143441.44444444444,5
8130300,BA,99.8,296,9,106164.44444444444,4
5611203,RS,99.8,297,9,50581.11111111111,5
8230001,SE,99.7,298,9,279327.8888888889,3
4743100,MG,99.7,299,8,146254.5,7
9329899,MG,99.7,300,8,132848.0,7
3299099,PR,99.7,301,9,23350.0,1
4789099,SP,99.7,302,8,324104.125,8
7420004,RS,99.7,303,8,95625.0,8
4930202,SP,99.7,304,8,1332947.5,8
2542000,BA,99.6,305,8,2550720.25,7
9512600,SP,99.6,306,8,195887.5,6
4752100,RS,99.6,307,8,268131.75,5
1412601,78600000,99.6,308,8,41611.875,4
4781400,RS,99.6,309,8,115173.5,8
4729699,76285000,99.6,310,9,3422.222222222222,1
4743100,SP,99.6,311,8,61392.0,7
4751201,RJ,99.6,312,8,7059863.5,6
4520006,PR,99.6,313,8,2053409.25,7
4520002,SP,99.6,314,8,56305.0,6
8219999,MG,99.6,315,8,433641.0,8
4752100,GO,99.6,316,8,67405.0,5
4755502,SP,99.6,317,8,58100.625,6
5611201,PR,99.5,318,8,204044.25,6
4321500,AL,99.5,319,8,510251.125,5
4744001,RS,99.5,320,8,8432.5,4
4744099,DF,99.5,321,8,116717.5,4
4712100,RS,99.5,322,8,107272.375,4
3314710,SP,99.5,323,8,82584.375,3
1629301,SC,99.5,324,8,175836.125,6
4761003,SP,99.5,325,8,23491.5,5
4520006,PB,99.5,326,8,773180.625,6
2542000,PR,99.5,327,8,50418.75,3
9609299,MG,99.4,328,8,68125.0,6
1091102,SP,99.4,329,8,50286.25,3
3101200,MG,99.4,330,8,262162.5,5
4761003,GO,99.4,331,8,393034.875,2
8130300,MG,99.4,332,8,193238.75,5
9602501,AL,99.3,333,8,35808.75,2
1340599,SP,99.3,334,8,28541.25,3
4753900,SC,99.3,335,7,36026.857142857145,7
4789001,SP,99.2,336,7,17739.714285714286,6
1099604,SP,99.2,337,8,2391.875,1
9001902,DF,99.2,338,8,218614.75,5
1813001,ES,99.2,339,7,62528.57142857143,7
9001901,80420120,99.1,340,8,36450.0,1
5320202,SP,98.9,341,7,429964.5714285714,6
4712100,ES,98.9,342,7,82997.57142857143,6
9511800,CE,98.9,343,7,172457.14285714287,5
5912001,PR,98.8,344,8,75262.5,2
1359600,SC,98.8,345,8,384524.0,3
4753900,BA,98.8,346,7,642023.7142857143,7
4399103,SC,98.7,347,7,5854311.714285715,7
5590699,GO,98.7,348,7,91521.42857142857,5
8592902,SC,98.6,349,7,685828.5714285715,5
5812301,SP,98.6,350,7,200423.14285714287,6
7420004,BA,98.5,351,7,423341.7142857143,7
9602501,SC,98.5,352,7,1082598.2857142857,7
7420001,SC,98.5,353,7,104352.85714285714,6
7420001,RN,98.5,354,7,155088.57142857142,6
1821100,SP,98.4,355,7,77978.57142857143,5
9511800,BA,98.4,356,7,381068.5714285714,7
5813100,SP,98.3,357,7,579607.1428571428,2
1813001,RS,98.3,358,7,103439.0,6
1813001,GO,98.2,359,7,60854.28571428572,3
4729699,DF,98.2,360,7,8985.0,3
4752100,SP,98.1,361,7,31435.714285714286,4
4789005,SP,98.1,362,7,68325.71428571429,3
5620104,PR,98.1,363,7,883664.8571428572,6
4789003,SP,98.1,364,7,29257.14285714286,4
8599699,RJ,98.0,365,7,139822.0,5
4321500,CE,98.0,366,7,566525.8571428572,4
3600602,PB,98.0,367,7,7563451.857142857,4
3314720,PR,97.8,368,7,537057.1428571428,1
4930202,BA,97.7,369,7,129746.85714285714,2
7721700,SC,97.6,370,7,44285.71428571428,3
4724500,PR,97.6,371,7,308441.71428571426,3
1412602,MG,97.6,372,7,58423.0,5
4930202,74484611,97.3,373,7,98641.42857142857,1
4781400,PB,97.3,374,7,60311.57142857143,1
4722901,RS,97.2,375,7,7377.142857142857,1
4753900,GO,97.2,376,6,482483.3333333333,6
5320202,RS,97.1,377,7,5000.0,1
8219999,JARDIM SANTA CLARA,97.1,378,6,42890.833333333336,6
4321500,DF,96.9,379,7,47250.0,3
8219999,SC,96.5,380,6,53475.0,6
4744001,SC,96.4,381,6,33182.5,5
4322302,MS,96.1,382,6,23748579.0,5
9511800,DF,95.9,383,6,313938.5,5
8599605,SP,95.9,384,6,192491.66666666663,6
4929901,PB,95.5,385,7,509034.28571428574,3
5912099,22031100,95.4,386,6,87600.0,4
7721700,RS,95.4,387,6,188450.0,6
3321000,GO,95.1,388,6,240183.3333333333,4
1413403,RS,95.0,389,6,181482.0,3
4929901,MG,94.8,390,6,33437961.666666668,6
4789007,MT,94.8,391,6,607049.1666666666,3
3314707,TO,94.4,392,6,189021.66666666663,3
5620104,PB,94.4,393,6,173730.83333333334,3
4723700,MG,94.3,394,6,9964788.5,6
8230002,SP,94.3,395,6,56775.0,5
4930204,RS,94.1,396,6,141083.33333333334,6
7729202,MG,94.0,397,6,329618.3333333333,4
4781400,GO,93.8,398,6,113856.66666666669,6
5812302,GO,93.8,399,6,352832.6666666667,3
8592999,BA,93.7,400,6,236150.0,6
4723700,BA,93.7,401,6,103271.66666666669,6
4930201,RS,93.4,402,6,1354280.1666666667,5
4520002,PR,93.3,403,6,865100.0,6
9329899,SC,93.2,404,6,1474225.3333333333,6
4744099,BA,93.2,405,6,2320814.833333333,4
4781400,PR,93.1,406,6,586760.1666666666,6
1412602,BA,93.1,407,6,1294716.1666666667,5
1352900,GO,93.0,408,6,51500.5,3
4330403,SP,93.0,409,6,62030.0,5
4759801,SP,93.0,410,6,70021.66666666667,5
7990200,SP,92.9,411,6,148066.66666666666,3
6190699,SP,92.8,412,6,151600.0,2
2539001,BA,92.8,413,6,1718000.0,3
4322303,SP,92.7,414,6,85251.66666666667,3
8219999,PR,92.7,415,6,36052.5,3
5812301,MG,92.7,416,6,525863.6666666666,4
8599603,MG,92.6,417,6,254602.0,5
9002702,MG,92.6,418,6,252343.3333333333,5
9511800,PR,92.6,419,6,539053.6666666666,4
7319099,PR,92.6,420,6,244693.8333333333,6
5620104,RS,92.5,421,6,188340.0,5
4789008,SP,92.5,422,6,59433.333333333336,3
1096100,MG,92.4,423,6,170720.16666666666,5
4520001,RJ,92.3,424,6,65540.0,2
5812301,RS,92.3,425,6,111000.0,5
5811500,RS,92.3,426,6,105416.66666666669,5
5812301,BA,92.2,427,6,197356.66666666663,5
8219999,RS,92.2,428,6,70721.66666666667,6
4520005,PB,92.0,429,6,433736.0,5
1412603,RS,91.9,430,6,43358.333333333336,5
4751201,RS,91.9,431,6,92866.66666666669,4
4930202,RS,91.8,432,6,61866.66666666666,4
4763602,CE,91.4,433,6,443734.0,1
4520007,PR,91.3,434,6,49750.0,3
4520002,MG,91.2,435,6,565575.3333333334,5
9001902,81570160,91.2,436,6,100803.83333333331,2
9521500,MG,91.1,437,6,57700.0,2
9521500,RS,91.0,438,6,444025.0,4
8219901,MG,91.0,439,6,29353.33333333333,3
4520006,73820000,91.0,440,6,414928.1666666667,1
9511800,PB,90.9,441,6,1251455.8333333333,5
8599699,PE,90.8,442,6,104300.0,3
4755503,RS,90.7,443,6,13515.0,3
3811400,85440000,90.7,444,6,167810.0,1
1412602,SC,90.7,445,6,525049.3333333334,5
1091101,RS,90.6,446,6,213741.66666666663,4
3314711,GO,90.4,447,6,15576.666666666666,2
4399199,BA,89.9,448,6,18591.666666666668,1
4930202,PR,89.8,449,6,213833.3333333333,2
8592902,81070000,89.8,450,6,40850.0,1
4930201,BA,86.7,451,6,2762346.333333333,3
4530703,BA,86.5,452,6,2219010.6666666665,3
4741500,MG,84.5,453,5,14662.0,5
4754701,BA,83.3,454,5,325846.8,4
4755502,PB,81.7,455,5,139584.0,4
5620102,RJ,81.5,456,5,125260.0,5
8219999,RJ,80.8,457,5,82633.4,5
8230002,GO,78.6,458,5,159590.0,4
5819100,MG,78.5,459,5,8499048.4,4
4755501,MG,78.0,460,5,67961.8,3
7420004,RN,77.8,461,5,350036.0,5
4923001,RN,77.6,462,6,1395626.6666666667,1
3299099,PE,77.4,463,5,240050.0,5
5611205,RJ,77.0,464,5,4351971.8,2
4930201,PR,74.5,465,5,517280.0,5
4742300,SC,74.3,466,5,891535.4,5
1093701,MG,74.0,467,5,222432.0,4
4781400,PA,73.9,468,5,13790.6,3
4723700,SC,73.3,469,5,415466.4,5
8592903,BA,73.2,470,5,296998.4,4
3314707,RS,73.0,471,5,89140.0,4
4789005,RJ,72.6,472,5,9199391.6,2
5912099,ES,72.4,473,5,286720.0,5
1412601,RS,72.4,474,5,4336452.0,5
8592903,ES,72.2,475,5,250800.0,4
4772500,GO,72.0,476,5,57124.0,4
4322302,RO,71.6,477,5,286638.4,5
1359600,SP,71.4,478,5,313617.6,5
5620102,SP,71.3,479,5,286403.6,5
3101200,BA,71.2,480,5,3551068.0,4
4322303,RS,71.1,481,5,15466.0,3
9529102,SC,70.9,482,5,68698.0,4
7319002,PB,70.8,483,5,76490.0,3
9529102,76350000,70.7,484,5,69239.2,2
4721102,BA,70.7,485,5,1862001.2,3
9602502,SP,70.6,486,5,184530.0,5
7739099,SP,70.4,487,5,123505.0,4
8230002,MG,70.2,488,5,1221428.4,5
3299099,GO,70.2,489,5,1011985.4,4
9511800,RS,70.1,490,5,840049.2,4
1629301,SP,70.0,491,5,93880.0,4
4754703,SP,69.7,492,5,34600.0,1
4399103,RN,69.6,493,5,115018364.8,2
9602501,PR,69.4,494,5,38140480.4,4
4744099,PB,68.7,495,5,1522330.2,5
4744099,SP,68.4,496,5,33288.0,4
7420004,PR,68.2,497,5,274700.0,4
8219901,SP,68.1,498,5,16000.0,2
7420004,GO,68.1,499,5,248000.0,4
4530703,MG,68.0,500,5,223245.4,4
7420004,MG,67.9,501,5,253500.0,5
4759899,SP,67.7,502,5,15666.0,3
5812302,MG,67.7,503,5,216360.0,5
3299003,BA,67.6,504,5,128251.8,1
8219901,GO,67.5,505,5,161432.4,4
4721102,GO,67.2,506,5,82946.0,2
9609299,RJ,67.0,507,5,166957.0,1
4330402,MG,66.9,508,5,77024.0,3
7420004,CE,66.7,509,5,201576.0,2
8130300,SC,66.4,510,5,233051.0,5
4322302,PA,66.3,511,5,470030.0,5
4322302,RN,66.2,512,5,405548.0,5
3321000,RS,66.1,513,5,35080.0,3
7319002,PE,66.1,514,5,212000.0,3
7911200,CE,66.0,515,5,97500.0,1
4753900,RS,66.0,516,5,36130.0,3
4520001,MT,65.6,517,5,114720.0,1
4322302,AL,65.6,518,5,145400.0,2
4781400,SC,65.5,519,5,112857.4,4
8219999,RN,65.5,520,5,242820.0,5
9609299,BA,65.4,521,5,42000.0,2
4723700,SETOR AEROPORTO,65.4,522,5,77880.0,1
8219901,RS,65.3,523,5,16082.0,2
9001901,SC,64.8,524,5,80028.8,3
8130300,PR,64.5,525,5,1598831.2,4
3299002,RS,63.9,526,5,5305.0,1
1813001,75833424,63.6,527,5,25000.0,1
3314711,73930000,63.1,528,5,17892.0,1
5912099,MG,63.1,529,5,599754.8,4
1359600,RS,62.6,530,5,313460.0,4
2539001,SP,62.5,531,5,35460.0,3
7319099,MT,62.4,532,5,16000.0,1
4751201,CENTRO,61.2,533,5,7800.0,1
8599699,GO,60.2,534,5,146400.0,4
4520005,CE,59.9,535,5,288430.0,2
5611203,SC,59.7,536,5,193419.6,4
9511800,RN,59.3,537,5,239104.0,4
8592903,PE,59.0,538,5,133080.0,2
8592999,MS,57.1,539,5,83832.2,2
5612100,SC,54.6,540,5,398174.4,3
4789004,MG,47.9,541,4,4019398.25,4
4743100,PR,45.9,542,4,243151050.0,4
4724500,75410000,41.3,543,4,410549.0,4
3299003,ES,41.0,544,4,209384.75,4
9529102,76195000,40.6,545,4,301425.0,4
4789004,MS,39.1,546,4,80997.5,4
4754703,RJ,35.6,547,4,361676.0,3
4712100,GO,34.7,548,4,297125.0,4
7739003,RS,34.6,549,4,189500.0,4
4530703,MT,33.7,550,4,558614.5,4
4789007,BA,33.6,551,4,213381.5,4
5912099,AL,31.8,552,4,159116.5,4
9512600,RJ,30.3,553,4,41800.0,4
4763602,RO,28.7,554,4,243709.0,2
4759899,RO,27.8,555,4,128125.0,2
4399199,GO,27.5,556,4,358976.0,4
4756300,RS,27.3,557,4,57250.0,3
4757100,SP,27.1,558,4,1356668.25,3
4543900,PR,27.0,559,4,921962.5,1
9001901,GO,27.0,560,4,115150.0,3
4761001,SP,26.9,561,4,331998.5,2
9609299,APT 602,26.8,562,4,68750.0,2
4322302,PR,26.8,563,4,280718.5,4
4754701,PR,26.5,564,4,167660.0,4
4923002,BA,26.2,565,4,2717674.0,2
1813001,MG,25.9,566,4,99961.25,4
8219999,PB,25.6,567,4,330000.0,4
5812302,RS,25.3,568,4,46700.0,4
9001906,RN,25.2,569,4,276250.0,4
1412602,GO,25.2,570,4,69026.25,4
8129000,SP,25.1,571,4,1164047.0,4
9609299,RN,25.1,572,4,198000.0,4
8230002,RJ,24.8,573,4,129870.0,4
161003,MG,24.5,574,4,1685833.0,3
4330402,SP,24.5,575,4,54062.0,2
4329101,SP,24.5,576,4,182465.0,3
4756300,SP,24.3,577,4,158750.0,3
8230001,MT,23.9,578,4,264412.5,4
4789099,BA,23.7,579,4,1517951.75,3
7420004,SP,23.6,580,4,349923.0,4
1359600,PB,23.3,581,4,2078429.75,3
4754702,ES,23.2,582,4,130000.0,1
1340501,SP,23.1,583,4,4787.5,1
4754701,RS,23.0,584,4,100770.0,2
