CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis,share_cnae,share_uf,log_valor_medio,log_valor_total,log_count,diversidade_orgaos,densidade_mei,target
6190699,ES,2,5203857.0,2601928.5,2,1,0.0013414345458849523,0.02714432257555433,14.771763843144864,15.464910831539708,1.0986122886681098,0.01680672268907563,0.5,0
4789001,RS,9,555000.0,61666.66666666666,7,8,0.0021305136905231596,0.12214945158999448,11.029515031477088,13.22672519452875,2.302585092994046,0.058823529411764705,0.8888888888888888,1
4755502,PE,2,246400.0,123200.0,2,2,0.002603961177306084,0.015781582892764143,11.72157244693173,12.414715569074824,1.0986122886681098,0.01680672268907563,1.0,0
1749400,SE,1,25000.0,25000.0,1,1,0.0006312633157105657,0.006786080643888582,10.12667110305036,10.12667110305036,0.6931471805599453,0.008403361344537815,1.0,0
4763602,MG,1,1077254.0,1077254.0,1,1,0.0014992503748125937,0.1032115521186775,13.889926696915445,13.889926696915445,0.6931471805599453,0.008403361344537815,1.0,0
4783102,ES,2,110000.0,55000.0,2,1,0.00023672374339146217,0.02714432257555433,10.915106645867503,11.608244735642321,1.0986122886681098,0.01680672268907563,0.5,0
9601701,SC,1,50400.0,50400.0,1,1,0.0011047108024934901,0.043951708356348144,10.827766295132466,10.827766295132466,0.6931471805599453,0.008403361344537815,1.0,0
4761003,PR,3,5010486.0,1670162.0,3,3,0.005286830269075988,0.09776690602067388,14.328431784420319,15.427043673925713,1.3862943611198906,0.025210084033613446,1.0,0
5223100,MG,3,1704000.0,568000.0,2,3,0.0011047108024934901,0.1032115521186775,13.249878458265119,14.348489573225686,1.3862943611198906,0.01680672268907563,1.0,0
1822901,RN,2,520000.0,260000.0,1,2,0.0017359741182040559,0.012940897972066599,12.468440756144114,13.161586013632684,1.0986122886681098,0.008403361344537815,1.0,0
1091101,RJ,3,289590.0,96530.0,3,1,0.0018148820326678765,0.024777085141639708,11.47761947926274,12.576224861662721,1.3862943611198906,0.025210084033613446,0.3333333333333333,0
5620101,SP,10,1498125.0,149812.5,3,2,0.0038664878087272155,0.25392566874457506,11.917146466164892,14.219725551671607,2.3978952727983707,0.025210084033613446,0.2,1
9529104,PR,1,28500.0,28500.0,1,1,0.00015781582892764143,0.09776690602067388,10.25769445336048,10.25769445336048,0.6931471805599453,0.008403361344537815,1.0,0
4751201,MS,1,623720.0,623720.0,1,1,0.017991004497751123,0.010494752623688156,13.34345843198106,13.34345843198106,0.6931471805599453,0.008403361344537815,1.0,0
161003,PR,2,6734035.0,3367017.5,1,2,0.0015781582892764145,0.09776690602067388,15.029538192633611,15.722685224694214,1.0986122886681098,0.008403361344537815,1.0,0
5620104,BA,18,33114229.0,1839679.388888889,9,12,0.00654935690049712,0.0658881085772903,14.425102412806462,17.315473657328297,2.9444389791664403,0.07563025210084033,0.6666666666666666,1
4520001,SC,1,158330.0,158330.0,1,1,0.018385544070070228,0.043951708356348144,11.972443057397975,11.972443057397975,0.6931471805599453,0.008403361344537815,1.0,0
8599604,SC,9,1499368.0,166596.44444444444,9,7,0.010968200110471081,0.043951708356348144,12.023335669128107,14.220554910900727,2.302585092994046,0.07563025210084033,0.7777777777777778,1
7420001,80035250,1,64800.0,64800.0,1,1,0.008916594334411741,7.890791446382072e-05,11.079076314320059,11.079076314320059,0.6931471805599453,0.008403361344537815,1.0,0
7420002,JARDIM BELA VISTA,1,270000.0,270000.0,1,1,0.0005523554012467451,7.890791446382072e-05,12.506180941677357,12.506180941677357,0.6931471805599453,0.008403361344537815,1.0,0
4744001,DF,1,0.0,0.0,1,1,0.0024461453483784422,0.00654935690049712,0.0,0.0,0.6931471805599453,0.008403361344537815,1.0,0
5590603,BA,2,1707480.0,853740.0,1,1,0.00015781582892764143,0.0658881085772903,13.6573831480839,14.350529742985962,1.0986122886681098,0.008403361344537815,0.5,0
4761003,RJ,2,432877.0,216438.5,2,1,0.005286830269075988,0.024777085141639708,12.285066341644965,12.978211212087869,1.0986122886681098,0.01680672268907563,0.5,0
