CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis
9511800,BA,7,2667480.0,381068.5714285714,7,7
9511800,60712025,1,119999.0,119999.0,1,1
3314707,RS,5,445700.0,89140.0,4,3
5320201,AM,1,33600.0,33600.0,1,1
9001901,80010120,1,40500.0,40500.0,1,1
4543900,ES,1,70000.0,70000.0,1,1
8599699,SC,21,61297343.0,2918921.095238095,13,21
7420004,MS,1,5900004.0,5900004.0,1,1
4399103,72405320,1,0.0,0.0,1,1
4723700,PB,3,737594.0,245864.66666666666,3,2
9001901,80250030,2,56700.0,28350.0,1,1
4520007,75460032,1,6500.0,6500.0,1,1
5912099,75955000,1,3000.0,3000.0,1,1
5320202,GO,1,249600.0,249600.0,1,1
2330399,76730000,1,63600.0,63600.0,1,1
5812301,PB,1,317400.0,317400.0,1,1
9602502,PR,4,802095.0,200523.75,4,4
5611205,SP,1,198000.0,198000.0,1,1
5611201,76300000,1,336000.0,336000.0,1,1
4755502,GO,1,104596.0,104596.0,1,1
5912099,PB,1,74900.0,74900.0,1,1
3314720,SP,2,355000.0,177500.0,2,2
1340599,SC,3,1139439.0,379813.0,2,3
3299099,RS,4,492173.0,123043.25,4,4
4520001,TO,2,780000.0,390000.0,2,1
3314707,GO,23,437900.0,19039.130434782608,5,2
3101200,CE,1,160500.0,160500.0,1,1
5912099,BA,3,1157000.0,385666.6666666667,2,2
5611203,ES,1,562038.0,562038.0,1,1
7739003,BA,2,442000.0,221000.0,2,2
9512600,GO,1,141200.0,141200.0,1,1
1091101,MS,1,84000.0,84000.0,1,1
1031700,RS,1,362500.0,362500.0,1,1
3329501,PB,1,36000.0,36000.0,1,1
5912099,ES,5,1433600.0,286720.0,5,4
1412603,GO,1,18000.0,18000.0,1,1
3299003,SE,1,336675.0,336675.0,1,1
4723700,SETOR AEROPORTO,5,389400.0,77880.0,1,1
8599699,13091140,2,667760.0,333880.0,1,1
3313901,RN,1,546000.0,546000.0,1,1
4742300,GO,2,420000.0,210000.0,2,2
2542000,ES,1,160000.0,160000.0,1,1
1412603,AC,1,80000.0,80000.0,1,1
9601701,TO,1,68970.0,68970.0,1,1
4781400,PI,1,11200.0,11200.0,1,1
7739099,MA,2,697500.0,348750.0,2,1
1413403,PB,1,453700.0,453700.0,1,1
7420002,MG,1,250000.0,250000.0,1,1
8599604,TO,1,170000.0,170000.0,1,1
1091102,BA,1,636000.0,636000.0,1,1
5612100,BA,1,154000.0,154000.0,1,1
4543900,BA,3,300000.0,100000.0,1,1
9609299,PA,1,148704.0,148704.0,1,1
4530705,PR,1,933559.0,933559.0,1,1
8219999,ES,2,1489807.0,744903.5,1,1
7420001,87020160,1,78000.0,78000.0,1,1
4399199,RS,1,98000.0,98000.0,1,1
2542000,PB,1,1314048.0,1314048.0,1,1
3313901,PR,2,1164480.0,582240.0,1,1
8230001,DF,1,52500.0,52500.0,1,1
4729699,PR,3,541500.0,180500.0,3,3
5612100,GO,24,1112974.0,46373.916666666664,5,3
9001902,RJ,82,11386227.0,138856.42682926828,30,50
